1540,3	-63,61
1540,3	-83,76
1540,3	-63,54
1540,3	-72,09
1540,3	-66,52
1540,3	-120
1540,3	-70,02
1540,3	-64,45
1540,3	-71,15
1540,3	-64,57
1540,3	-68,77
1540,3	-68,43
1540,3	-71,59
1540,3	-120
1540,3	-70,11
1540,3	-63,81
1540,31	-62,37
1540,31	-63,76
1540,31	-63,56
1540,31	-66,77
1540,31	-67,1
1540,31	-65,31
1540,31	-62,37
1540,31	-64,89
1540,31	-69,16
1540,31	-64,46
1540,31	-70,53
1540,31	-78,51
1540,31	-62,83
1540,31	-77,74
1540,31	-64,67
1540,31	-120
1540,31	-67,57
1540,31	-64,06
1540,31	-61,54
1540,31	-63,62
1540,31	-75,77
1540,31	-65,72
1540,31	-62,73
1540,31	-61,54
1540,31	-69,48
1540,31	-64,9
1540,31	-120
1540,31	-66,15
1540,31	-120
1540,31	-66,74
1540,31	-71
1540,31	-63,74
1540,31	-70,33
1540,32	-64,88
1540,32	-63,47
1540,32	-64,08
1540,32	-65,97
1540,32	-120
1540,32	-64,14
1540,32	-64,11
1540,32	-63,64
1540,32	-64,22
1540,32	-62,57
1540,32	-64,12
1540,32	-62,27
1540,32	-62,56
1540,32	-66,18
1540,32	-67,33
1540,32	-64,11
1540,32	-64,18
1540,32	-60,79
1540,32	-66,77
1540,32	-64,15
1540,32	-70,15
1540,32	-66,27
1540,32	-120
1540,32	-72,41
1540,32	-74,47
1540,32	-62,22
1540,32	-63,89
1540,32	-63,05
1540,32	-66,22
1540,32	-65,77
1540,32	-69,98
1540,32	-61,45
1540,32	-62,99
1540,32	-63,8
1540,33	-64,77
1540,33	-64,92
1540,33	-62,08
1540,33	-120
1540,33	-64,3
1540,33	-68,59
1540,33	-64,74
1540,33	-64,14
1540,33	-65,3
1540,33	-62,57
1540,33	-67,04
1540,33	-65,22
1540,33	-64,62
1540,33	-61,09
1540,33	-62,71
1540,33	-66,17
1540,33	-67,86
1540,33	-66,57
1540,33	-61,4
1540,33	-63,55
1540,33	-67,57
1540,33	-62,49
1540,33	-88,99
1540,33	-63,64
1540,33	-66
1540,33	-61,5
1540,33	-120
1540,33	-68,53
1540,33	-65,72
1540,33	-120
1540,33	-63,05
1540,33	-67,63
1540,33	-120
1540,34	-63
1540,34	-66,28
1540,34	-70,32
1540,34	-66,51
1540,34	-68,99
1540,34	-64,2
1540,34	-69,86
1540,34	-63
1540,34	-74,1
1540,34	-70,79
1540,34	-64,62
1540,34	-64,25
1540,34	-62,73
1540,34	-70,87
1540,34	-68,46
1540,34	-66,11
1540,34	-62,76
1540,34	-65,24
1540,34	-74,42
1540,34	-62,88
1540,34	-120
1540,34	-65,67
1540,34	-62,92
1540,34	-63,74
1540,34	-61,27
1540,34	-63,54
1540,34	-120
1540,34	-61,65
